index,publishing_year,book_name,author,language_code,author_rating,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,publisher,units_sold,operating_cost
854,2014,The Bone Clocks,David Mitchell,eng,Intermediate,3.81,53151.0,Fiction,781.96,469.176,6.92,Random House LLC,2862.0,312.78400000000005
855,1998,Black and Blue,Anna Quindlen,eng,Intermediate,3.86,67753.0,Fiction,450.87,270.522,3.99,"Amazon Digital Services,  Inc.",2862.0,180.348
857,2004,The Last Juror,John Grisham,eng,Intermediate,3.85,63114.0,Non-Fiction,970.67,582.402,8.59,Penguin Group (USA) LLC,2862.0,388.2679999999999
858,2003,Diary,Chuck Palahniuk,eng,Intermediate,3.6,58428.0,Fiction,1015.87,609.522,8.99,Hachette Book Group,2862.0,406.34799999999996
859,2005,Eleven on Top,Janet Evanovich,en-US,,4.15,84363.0,Fiction,846.37,507.822,7.49,Penguin Group (USA) LLC,2862.0,338.548
860,2005,Tintenblut,"Cornelia Funke, Anthea Bell",eng,Intermediate,3.91,82291.0,Fiction,789.87,473.922,6.99,"Amazon Digital Services,  Inc.",2862.0,315.948
861,2003,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Chuck Klosterman,en-US,Intermediate,3.75,56548.0,Fiction,111.87,67.122,0.99,"Amazon Digital Services,  Inc.",2862.0,44.748000000000005
862,1945,Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder,Evelyn Waugh,eng,Intermediate,3.99,69087.0,Non-Fiction,224.87,134.922,1.99,"Amazon Digital Services,  Inc.",2862.0,89.94800000000001
863,2007,White Night,Jim Butcher,en-US,,4.41,73534.0,Fiction,111.87,67.122,0.99,"Amazon Digital Services,  Inc.",2862.0,44.748000000000005
864,2014,The Miniaturist,Jessie Burton,eng,Intermediate,3.58,56344.0,Fiction,224.87,134.922,1.99,HarperCollins Publishers,2862.0,89.94800000000001
865,1984,Dragons of Autumn Twilight,"Margaret Weis, Tracy Hickman",en-US,,4.03,76219.0,Non-Fiction,992.14,595.284,8.78,Simon and Schuster Digital Sales Inc,2862.0,396.856
866,2006,The Lost Colony,Eoin Colfer,en-US,,4.01,103844.0,Non-Fiction,282.5,169.5,2.5,"Amazon Digital Services,  Inc.",2862.0,113.0
867,2006,Extras,Scott Westerfeld,en-US,Intermediate,3.59,85873.0,Fiction,110.88,66.528,0.99,"Amazon Digital Services,  Inc.",2862.0,44.35199999999999
868,2005,The Burning Bridge,John Flanagan,en-US,,4.28,74156.0,Non-Fiction,838.88,503.328,7.49,Macmillan,2862.0,335.552
869,2014,The Book of Life,Deborah Harkness,eng,,4.15,63027.0,Fiction,334.88,0.0,2.99,"Amazon Digital Services,  Inc.",2862.0,334.88
870,1992,The Artist's Way: A Spiritual Path to Higher Creativity,Julia Cameron,eng,Intermediate,3.89,66049.0,Fiction,670.88,0.0,5.99,"Amazon Digital Services,  Inc.",4480.0,670.88
871,1992,The Stinky Cheese Man and Other Fairly Stupid Tales,"Jon Scieszka, Lane Smith",eng,,4.2,78487.0,Non-Fiction,334.88,200.928,2.99,"Amazon Digital Services,  Inc.",4480.0,133.952
872,2009,Horns,Joe Hill,en-US,Intermediate,3.92,66287.0,Non-Fiction,334.88,200.928,2.99,Hachette Book Group,4480.0,133.952
873,2011,Catherine the Great: Portrait of a Woman,Robert K. Massie,en-CA,Intermediate,3.91,66591.0,Fiction,110.88,0.0,0.99,"Amazon Digital Services,  Inc.",4480.0,110.88
874,2009,The Year of the Flood,Margaret Atwood,eng,,4.05,68597.0,Fiction,894.88,536.928,7.99,Simon and Schuster Digital Sales Inc,4480.0,357.952
875,2009,Winter Garden,Kristin Hannah,en-GB,,4.13,66577.0,Fiction,334.88,0.0,2.99,"Amazon Digital Services,  Inc.",4480.0,334.88
